==============================================================================
DIRECTED-CONSTRUCTION CONTROL — btc_alt_spillover_v1
==============================================================================
  alt              : ETHUSDT (1,461 bars) from /home/claude/work/repo/data/real_multi_1d
  BTC driver       : BTCUSD (3,134 bars used, 1 excluded: 2025-01-07)
  surrogates       : 1000
  rotations each   : 1500
  barrier          : +3/-1.5 ATR, horizon 5, 25 bps, entry next_open

Whole alt bars are shuffled and re-based; the DATES and the BTC
driver are untouched, so the signal fires on the same calendar days.
On a series with no temporal structure there is nothing to time, so
a correct instrument must report percentiles uniform on [0, 100].

  surrogate 1: percentile 100.0  (124 trades)
  surrogate 2: percentile  67.7  (124 trades)
  surrogate 3: percentile  20.0  (124 trades)
  surrogate 4: percentile  21.8  (124 trades)
  surrogate 5: percentile  15.9  (124 trades)
  surrogate 6: percentile  72.3  (124 trades)
  surrogate 7: percentile  75.3  (124 trades)
  surrogate 8: percentile  40.3  (124 trades)
  surrogate 9: percentile  64.3  (124 trades)
  surrogate 10: percentile  81.3  (124 trades)
  surrogate 11: percentile  92.9  (124 trades)
  surrogate 12: percentile  60.9  (124 trades)
  surrogate 13: percentile  16.7  (124 trades)
  surrogate 14: percentile   0.5  (124 trades)
  surrogate 15: percentile  84.7  (124 trades)
  surrogate 16: percentile  13.3  (124 trades)
  surrogate 17: percentile  44.3  (124 trades)
  surrogate 18: percentile  74.7  (124 trades)
  surrogate 19: percentile  46.6  (124 trades)
  surrogate 20: percentile  59.9  (124 trades)
  surrogate 21: percentile  87.0  (124 trades)
  surrogate 22: percentile   9.8  (124 trades)
  surrogate 23: percentile   7.5  (124 trades)
  surrogate 24: percentile  70.8  (124 trades)
  surrogate 25: percentile  42.3  (124 trades)
  surrogate 26: percentile  55.9  (124 trades)
  surrogate 27: percentile  63.6  (124 trades)
  surrogate 28: percentile  78.1  (124 trades)
  surrogate 29: percentile  49.9  (124 trades)
  surrogate 30: percentile  26.4  (124 trades)
  surrogate 31: percentile  40.2  (124 trades)
  surrogate 32: percentile  69.9  (124 trades)
  surrogate 33: percentile   2.9  (124 trades)
  surrogate 34: percentile  71.7  (124 trades)
  surrogate 35: percentile  61.7  (124 trades)
  surrogate 36: percentile  60.8  (124 trades)
  surrogate 37: percentile  89.3  (124 trades)
  surrogate 38: percentile  94.7  (124 trades)
  surrogate 39: percentile  78.8  (124 trades)
  surrogate 40: percentile  44.6  (124 trades)
  surrogate 41: percentile  36.7  (124 trades)
  surrogate 42: percentile  94.1  (124 trades)
  surrogate 43: percentile  20.4  (124 trades)
  surrogate 44: percentile  78.5  (124 trades)
  surrogate 45: percentile  30.9  (124 trades)
  surrogate 46: percentile  69.7  (124 trades)
  surrogate 47: percentile  81.4  (124 trades)
  surrogate 48: percentile  29.1  (124 trades)
  surrogate 49: percentile  82.3  (124 trades)
  surrogate 50: percentile  65.7  (124 trades)
  surrogate 51: percentile  61.3  (124 trades)
  surrogate 52: percentile  26.7  (124 trades)
  surrogate 53: percentile  74.1  (124 trades)
  surrogate 54: percentile  45.7  (124 trades)
  surrogate 55: percentile  85.7  (124 trades)
  surrogate 56: percentile  79.7  (124 trades)
  surrogate 57: percentile   9.5  (124 trades)
  surrogate 58: percentile  44.3  (124 trades)
  surrogate 59: percentile  49.0  (124 trades)
  surrogate 60: percentile  51.7  (124 trades)
  surrogate 61: percentile  72.4  (124 trades)
  surrogate 62: percentile  22.7  (124 trades)
  surrogate 63: percentile  61.7  (124 trades)
  surrogate 64: percentile  54.6  (124 trades)
  surrogate 65: percentile  81.7  (124 trades)
  surrogate 66: percentile  69.3  (124 trades)
  surrogate 67: percentile  92.7  (124 trades)
  surrogate 68: percentile   2.6  (124 trades)
  surrogate 69: percentile  51.4  (124 trades)
  surrogate 70: percentile  27.9  (124 trades)
  surrogate 71: percentile  20.7  (124 trades)
  surrogate 72: percentile  29.9  (124 trades)
  surrogate 73: percentile  53.1  (124 trades)
  surrogate 74: percentile  74.3  (124 trades)
  surrogate 75: percentile  93.3  (124 trades)
  surrogate 76: percentile  42.7  (124 trades)
  surrogate 77: percentile  99.5  (124 trades)
  surrogate 78: percentile  47.0  (124 trades)
  surrogate 79: percentile  37.9  (124 trades)
  surrogate 80: percentile  80.7  (124 trades)
  surrogate 81: percentile  32.3  (124 trades)
  surrogate 82: percentile  51.2  (124 trades)
  surrogate 83: percentile  20.1  (124 trades)
  surrogate 84: percentile  87.8  (124 trades)
  surrogate 85: percentile  43.4  (124 trades)
  surrogate 86: percentile  94.0  (124 trades)
  surrogate 87: percentile  64.5  (124 trades)
  surrogate 88: percentile  51.0  (124 trades)
  surrogate 89: percentile  13.3  (124 trades)
  surrogate 90: percentile  96.2  (124 trades)
  surrogate 91: percentile  97.6  (124 trades)
  surrogate 92: percentile  75.0  (124 trades)
  surrogate 93: percentile  45.9  (124 trades)
  surrogate 94: percentile  32.1  (124 trades)
  surrogate 95: percentile  78.5  (124 trades)
  surrogate 96: percentile  89.9  (124 trades)
  surrogate 97: percentile  46.1  (124 trades)
  surrogate 98: percentile   9.8  (124 trades)
  surrogate 99: percentile  82.8  (124 trades)
  surrogate 100: percentile  90.0  (124 trades)
  surrogate 101: percentile  35.4  (124 trades)
  surrogate 102: percentile   7.1  (124 trades)
  surrogate 103: percentile   8.8  (124 trades)
  surrogate 104: percentile  94.9  (124 trades)
  surrogate 105: percentile  34.0  (124 trades)
  surrogate 106: percentile  15.4  (124 trades)
  surrogate 107: percentile   4.6  (124 trades)
  surrogate 108: percentile  28.8  (124 trades)
  surrogate 109: percentile  22.0  (124 trades)
  surrogate 110: percentile  32.9  (124 trades)
  surrogate 111: percentile  48.7  (124 trades)
  surrogate 112: percentile  54.1  (124 trades)
  surrogate 113: percentile  38.8  (124 trades)
  surrogate 114: percentile  83.7  (124 trades)
  surrogate 115: percentile  87.0  (124 trades)
  surrogate 116: percentile  35.6  (124 trades)
  surrogate 117: percentile  33.6  (124 trades)
  surrogate 118: percentile  15.3  (124 trades)
  surrogate 119: percentile  56.7  (124 trades)
  surrogate 120: percentile  85.6  (124 trades)
  surrogate 121: percentile  14.7  (124 trades)
  surrogate 122: percentile  85.3  (124 trades)
  surrogate 123: percentile  25.6  (124 trades)
  surrogate 124: percentile  36.9  (124 trades)
  surrogate 125: percentile  16.8  (124 trades)
  surrogate 126: percentile  69.7  (124 trades)
  surrogate 127: percentile  76.9  (124 trades)
  surrogate 128: percentile  12.1  (124 trades)
  surrogate 129: percentile  31.1  (124 trades)
  surrogate 130: percentile  98.7  (124 trades)
  surrogate 131: percentile  96.1  (124 trades)
  surrogate 132: percentile  19.5  (124 trades)
  surrogate 133: percentile  38.4  (124 trades)
  surrogate 134: percentile  83.1  (124 trades)
  surrogate 135: percentile  96.3  (124 trades)
  surrogate 136: percentile  10.5  (124 trades)
  surrogate 137: percentile  54.7  (124 trades)
  surrogate 138: percentile  60.3  (124 trades)
  surrogate 139: percentile   0.7  (124 trades)
  surrogate 140: percentile  54.3  (124 trades)
  surrogate 141: percentile  16.3  (124 trades)
  surrogate 142: percentile  31.3  (124 trades)
  surrogate 143: percentile  93.8  (124 trades)
  surrogate 144: percentile  26.6  (124 trades)
  surrogate 145: percentile   2.7  (124 trades)
  surrogate 146: percentile  37.9  (124 trades)
  surrogate 147: percentile  65.7  (124 trades)
  surrogate 148: percentile  72.3  (124 trades)
  surrogate 149: percentile  69.5  (124 trades)
  surrogate 150: percentile   5.1  (124 trades)
